"id","名称","课标","课本","备注"
"0","其他","","0",""
"1","《论语》十二章","必修","3","《论语》（“人而不仁”“朝闻道”“君子喻于义”“见贤思齐焉”“质胜文则野”“士不可以不弘毅”“譬如为山”“知者不惑”“有一言而可以终身行之者乎”“小子何莫学夫《诗》”“君子食无求饱”“克己复礼为仁”）"
"2","劝学","必修","1","《荀子》（学不可以已……用心躁也）"
"3","屈原列传","必修","4","司马迁（屈平疾王听之不聪也……虽与日月争光可也）"
"4","谏太宗十思疏","必修","2","魏征"
"5","师说","必修","1","韩愈"
"6","阿房宫赋","必修","2","杜牧"
"7","六国论","必修","2","苏洵"
"8","答司马谏议书","必修","2","王安石"
"9","赤壁赋","必修","1","苏轼"
"10","项脊轩志","必修","5","归有光"
"11","子路、曾晳、冉有、公西华侍坐","选择性必修","2","《论语》"
"12","报任安书","选择性必修","0","司马迁（古者富贵而名摩灭……难为俗人言也）"
"13","过秦论（上）","选择性必修","4","贾谊"
"14","礼运","选择性必修","0","《礼记》（大道之行也……是谓大同）"
"15","陈情表","选择性必修","5","李密"
"16","归去来兮辞（并序）","选择性必修","5","陶潜"
"17","种树郭橐驼传","选择性必修","5","柳宗元"
"18","五代史伶官传序","选择性必修","4","欧阳修"
"19","石钟山记","选择性必修","5","苏轼"
"20","登泰山记","选择性必修","1","姚鼐"
"21","《老子》八章","选修","0","（第八章“上善若水”；第十二章“五色令人目盲”；第十五章“古之善为士者”；第二十二章“曲则全”；第二十四章“跂者不立”；第二十七章“善行无辙迹”；第三十三章“知人者智”；第八十一章“信言不美”）"
"22","季氏将伐颛臾","选修","0","《论语》"
"23","大学之道","选修","3","《礼记》（古之欲明明德于天下者……壹是皆以修身为本）"
"24","中庸","选修","0","《礼记》（喜怒哀乐之未发……万物育焉；博学之……人十能之，己千之）"
"25","《孟子》一则","选修","0","（敢问夫子恶乎长……则不能也）"
"26","逍遥游","选修","0","《庄子》（惠子谓庄子曰……则夫子犹有蓬之心也夫）"
"27","谏逐客书","选修","2","李斯"
"28","兰亭集序","选修","5","王羲之"
"29","滕王阁序","选修","0","王勃"
"30","黄冈竹楼记","选修","0","王禹偁"
"31","上枢密韩太尉书","选修","0","苏辙"
"32","古代文论选段","选修","0","毛诗序（诗者，志之所之也……不知手之舞之足之蹈之也）；典论·论文（盖文章，经国之大业……而声名自传于后）曹丕；诗品序（若乃春风春鸟……故曰：“《诗》可以群，可以怨。”）锺嵘；与元九书（感人心者……华声，实义）白居易；题画（江馆清秋……独画云乎哉）郑燮；人间词话（词以境界为最上……自有名句；境非独谓景物也……否则谓之无境界；古今之成大事业、大学问者……恐为晏欧诸公所不许也）王国维"
"33","静女","诗词曲","1","《诗经·邶风》"
"34","无衣","诗词曲","3","《诗经·秦风》"
"35","离骚","诗词曲","5","屈原（帝高阳之苗裔兮……来吾道夫先路）"
"36","涉江采芙蓉","诗词曲","1","《古诗十九首》"
"37","短歌行","诗词曲","1","曹操"
"38","归园田居（其一）","诗词曲","1","陶潜"
"39","拟行路难（其四）","诗词曲","5","鲍照"
"40","春江花月夜","诗词曲","3","张若虚"
"41","山居秋暝","诗词曲","0","王维"
"42","蜀道难","诗词曲","5","李白"
"43","梦游天姥吟留别","诗词曲","1","李白"
"44","将进酒","诗词曲","3","李白"
"45","燕歌行","诗词曲","4","高适"
"46","蜀相","诗词曲","5","杜甫"
"47","客至","诗词曲","5","杜甫"
"48","登高","诗词曲","1","杜甫"
"49","登岳阳楼","诗词曲","2","杜甫"
"50","琵琶行（并序）","诗词曲","1","白居易"
"51","李凭箜篌引","诗词曲","4","李贺"
"52","菩萨蛮","诗词曲","0","温庭筠（小山重叠金明灭）"
"53","锦瑟","诗词曲","4","李商隐"
"54","虞美人","诗词曲","1","李煜（春花秋月何时了）"
"55","望海潮","诗词曲","5","柳永（东南形胜）"
"56","桂枝香·金陵怀古","诗词曲","2","王安石"
"57","江城子·乙卯正月二十日夜记梦","诗词曲","3","苏轼"
"58","念奴娇·赤壁怀古","诗词曲","1","苏轼"
"59","登快阁","诗词曲","5","黄庭坚"
"60","鹊桥仙","诗词曲","1","秦观（纤云弄巧）"
"61","苏幕遮","诗词曲","0","周邦彦（燎沉香）"
"62","声声慢","诗词曲","1","李清照（寻寻觅觅）"
"63","书愤","诗词曲","4","陆游（早岁那知世事艰）"
"64","临安春雨初霁","诗词曲","5","陆游"
"65","念奴娇·过洞庭","诗词曲","2","张孝祥"
"66","永遇乐·京口北固亭怀古","诗词曲","1","辛弃疾"
"67","菩萨蛮·书江西造口壁","诗词曲","0","辛弃疾"
"68","青玉案·元夕","诗词曲","0","辛弃疾"
"69","贺新郎","诗词曲","0","刘克庄（国脉微如缕）"
"70","扬州慢","诗词曲","5","姜夔（淮左名都）"
"71","长亭送别","诗词曲","0","王实甫（【正宫】【端正好】）"
"72","朝天子·咏喇叭","诗词曲","0","王磐"